SKU,Masked SKU,image,Vendor,Category,INV,INITIAL ORDER,LIVE DATE,Production,Intransit,Proposed Qty/MOnth,30Days,90Days,180Days,360Days,Out of Stock Status,COMMENTS
BM49345,BM49345,![my-image](http://benzaraanalytics.com/T_images/BM49345.jpg),"4D CONCEPTS,INC",New Seller,67,75,,0,0,,4,8,8,8,73,
BM49344,BM49344,![my-image](http://benzaraanalytics.com/T_images/BM49344.jpg),"4D CONCEPTS,INC",New Seller,73,75,,0,0,,0,4,4,4,72,
BM132793,BM132793,![my-image](http://benzaraanalytics.com/T_images/BM132793.jpg),"4D CONCEPTS,INC",New Seller,68,75,,0,0,,4,5,5,5,88,
BM49341,BM49341,![my-image](http://benzaraanalytics.com/T_images/BM49341.jpg),"4D CONCEPTS,INC",New Seller,30,75,,0,0,,3,47,47,47,50,
BM132794,BM132794,![my-image](http://benzaraanalytics.com/T_images/BM132794.jpg),"4D CONCEPTS,INC",New Seller,68,75,,0,0,,8,9,9,9,70,
BM132795,BM132795,![my-image](http://benzaraanalytics.com/T_images/BM132795.jpg),"4D CONCEPTS,INC",New Seller,74,75,,0,0,,1,1,1,1,75,
BM132796,BM132796,![my-image](http://benzaraanalytics.com/T_images/BM132796.jpg),"4D CONCEPTS,INC",New Seller,63,75,,0,0,,3,3,3,3,65,
ABH-42537-WHIT,BM152860,![my-image](http://benzaraanalytics.com/T_images/ABH-42537-WHIT.jpg),A&B Factory,Normal Seller,104,,,,0,,91,266,285,285,236,
ABH-43311,BM154156,![my-image](http://benzaraanalytics.com/T_images/ABH-43311.jpg),A&B Factory,Slow Seller,125,,,,0,,15,46,63,63,170,
ABH-AV69766,BM145820,![my-image](http://benzaraanalytics.com/T_images/ABH-AV69766.jpg),A&B Factory,Top Sellers,0,,,,0,,42,226,275,275,106,
ABH-AV69774,BM165657,![my-image](http://benzaraanalytics.com/T_images/ABH-AV69774.jpg),A&B Factory,Normal Seller,16,,,,0,,62,171,184,184,129,
ABH-D69818,BM149598,![my-image](http://benzaraanalytics.com/T_images/ABH-D69818.jpg),A&B Factory,Normal Seller,155,,,,0,,16,44,64,64,169,
ABH-1411,BM158297,![my-image](http://benzaraanalytics.com/T_images/ABH-1411.jpg),A&B Factory,Top Sellers,0,,,,0,,3,199,254,254,45,
ABH-73379,BM147076,![my-image](http://benzaraanalytics.com/T_images/ABH-73379.jpg),A&B Factory,Normal Seller,148,,,,0,,12,39,47,47,171,
UPT-37910,BM49588,![my-image](http://benzaraanalytics.com/T_images/UPT-37910.jpg),Aaina Craft,Top Sellers,2,,,3993,1878,1200,535,1128,2079,7086,165,
UPT-32180,BM79010,![my-image](http://benzaraanalytics.com/T_images/UPT-32180.jpg),Aaina Craft,Top Sellers,0,,,937,668,350,226,507,1072,2324,26,
UPT-37900,BM49587,![my-image](http://benzaraanalytics.com/T_images/UPT-37900.jpg),Aaina Craft,Top Sellers,1,,,215,530,200,192,563,605,1593,207,
UPT-636038472,B012588331,![my-image](http://benzaraanalytics.com/T_images/UPT-636038472.jpg),Aaina Craft,Top Sellers,0,,,286,414,130,132,209,309,633,Out of stock from 9th June,
UPT-69623,0,![my-image](http://benzaraanalytics.com/T_images/UPT-69623.jpg),Aaina Craft,Top Sellers,0,,,394,218,140,0,15,155,433,Out of stock from 5th July,
UPT-32181,-,![my-image](http://benzaraanalytics.com/T_images/UPT-32181.jpg),Aaina Craft,Top Sellers,0,,,622,93,160,70,173,321,699,2,
UPT-636042216,BM88322,![my-image](http://benzaraanalytics.com/T_images/UPT-636042216.jpg),Aaina Craft,Normal Seller,120,,,30,243,60,46,112,223,415,78,
UPT-183797,BM183797,![my-image](http://benzaraanalytics.com/T_images/UPT-183797.jpg),Aaina Craft,Normal Seller,30,,,222,114,80,114,152,339,399,Out of stock from 18th July,
UPT-183796,BM183796,![my-image](http://benzaraanalytics.com/T_images/UPT-183796.jpg),Aaina Craft,Top Sellers,13,,,396,83,60,52,151,284,570,6,
UPT-183000,BM183000,![my-image](http://benzaraanalytics.com/T_images/UPT-183000.jpg),Aaina Craft,Top Sellers,0,,,394,296,160,130,188,451,669,25,
UPT-191450,,![my-image](http://benzaraanalytics.com/T_images/UPT-191450.jpg),Aaina Craft,Normal Seller,0,,,60,,,0,0,1,23,Out of stock from 21st May,
UPT-195130,BM195130,![my-image](http://benzaraanalytics.com/T_images/UPT-195130.jpg),Aaina Craft,Slow Seller,0,,,40,40,,0,0,9,17,Out of stock from 17th June,
UPT-183798,BM183798,![my-image](http://benzaraanalytics.com/T_images/UPT-183798.jpg),Aaina Craft,Discontinued,0,,,,,,0,0,2,16,Out of stock from 1st June,
UPT-183801,BM183801,![my-image](http://benzaraanalytics.com/T_images/UPT-183801.jpg),Aaina Craft,Discontinued,4,,,,,,2,2,5,9,4,
UPT-70500,BM154088,![my-image](http://benzaraanalytics.com/T_images/UPT-70500.jpg),Aaina Craft,Discontinued,0,,,,,,0,0,1,1,Out of stock from 24th April,
